ano_mes,valor
2010-03-01,115.7
2010-04-01,112.0
2010-05-01,115.3
2010-06-01,112.3
2010-07-01,112.7
2010-08-01,109.2
2010-09-01,109.6
2010-10-01,110.6
2010-11-01,110.7
2010-12-01,110.2
2011-01-01,105.0
2011-02-01,105.6
2011-03-01,101.6
2011-04-01,106.8
2011-05-01,103.6
2011-06-01,107.5
2011-07-01,104.6
2011-08-01,105.4
2011-09-01,105.1
2011-10-01,104.1
2011-11-01,102.3
2011-12-01,103.1
2012-01-01,101.0
2012-02-01,102.3
2012-03-01,106.5
2012-04-01,104.4
2012-05-01,103.4
2012-06-01,103.6
2012-07-01,105.7
2012-08-01,103.8
2012-09-01,107.3
2012-10-01,106.0
2012-11-01,107.2
2012-12-01,103.9
2013-01-01,105.6
2013-02-01,106.5
2013-03-01,105.5
2013-04-01,105.4
2013-05-01,107.0
2013-06-01,103.2
2013-07-01,100.8
2013-08-01,105.2
2013-09-01,101.7
2013-10-01,101.7
2013-11-01,99.3
2013-12-01,100.6
2014-01-01,97.8
2014-02-01,98.4
2014-03-01,101.2
2014-04-01,98.9
2014-05-01,93.9
2014-06-01,96.8
2014-07-01,93.2
2014-08-01,92.8
2014-09-01,91.1
2014-10-01,91.3
2014-11-01,89.0
2014-12-01,88.0
2015-01-01,85.6
2015-02-01,79.9
2015-03-01,73.8
2015-04-01,72.4
2015-05-01,71.6
2015-06-01,68.8
2015-07-01,69.3
2015-08-01,64.5
2015-09-01,62.7
2015-10-01,58.4
2015-11-01,62.2
2015-12-01,61.6
2016-01-01,65.6
2016-02-01,62.8
2016-03-01,63.2
2016-04-01,62.5
2016-05-01,63.8
2016-06-01,65.4
2016-07-01,67.1
2016-08-01,69.8
2016-09-01,68.9
2016-10-01,70.8
2016-11-01,68.6
2016-12-01,68.6
2017-01-01,70.2
2017-02-01,73.0
2017-03-01,74.0
2017-04-01,77.3
2017-05-01,80.5
2017-06-01,80.5
2017-07-01,81.6
2017-08-01,81.1
2017-09-01,85.6
2017-10-01,86.4
2017-11-01,85.3
2017-12-01,84.8
2018-01-01,86.5
2018-02-01,89.5
2018-03-01,91.1
2018-04-01,91.0
2018-05-01,89.9
2018-06-01,90.3
2018-07-01,89.8
2018-08-01,88.2
2018-09-01,89.2
2018-10-01,89.6
2018-11-01,92.3
2018-12-01,94.8
2019-01-01,93.3
2019-02-01,92.4
2019-03-01,91.5
2019-04-01,91.2
2019-05-01,90.5
2019-06-01,89.6
2019-07-01,90.2
2019-08-01,93.4
2019-09-01,91.7
2019-10-01,93.4
2019-11-01,92.9
2019-12-01,93.0
2020-01-01,91.9
2020-02-01,92.6
2020-03-01,93.9
2020-04-01,60.9
2020-05-01,69.3
2020-06-01,82.0
2020-07-01,88.4
2020-08-01,102.0
2020-09-01,106.6
2020-10-01,105.1
2020-11-01,99.7
2020-12-01,93.6
2021-01-01,90.0
2021-02-01,86.5
2021-03-01,75.9
2021-04-01,81.6
2021-05-01,94.9
2021-06-01,104.2
2021-07-01,108.7
2021-08-01,105.0
2021-09-01,99.1
2021-10-01,95.3
2021-11-01,88.3
2021-12-01,84.0
2022-01-01,80.5
2022-02-01,78.1
2022-03-01,87.6
2022-04-01,92.9
2022-05-01,101.1
2022-06-01,108.5
2022-07-01,105.6
2022-08-01,104.2
2022-09-01,105.7
2022-10-01,102.3
2022-11-01,89.7
2022-12-01,88.7
2023-01-01,79.9
2023-02-01,86.6
2023-03-01,86.9
2023-04-01,87.4
2023-05-01,90.1
2023-06-01,98.9
2023-07-01,98.0
2023-08-01,94.6
2023-09-01,94.2
